Current, Voltage, Capacity, Cumulative_capacity, Seconds, Test_State, SOC
-4.15334,2.95023,-1.25007,-371.591,07/18/2024 11:31:01.318092600,1,-18.1319
-4.15097,2.95022,-1.24937,-372.84,07/18/2024 11:31:02.401633540,1,-18.1895
-4.14854,2.95023,-1.24863,-374.089,07/18/2024 11:31:03.485165560,1,-18.2471
-4.14611,2.95022,-1.24791,-375.337,07/18/2024 11:31:04.568701640,1,-18.3046
-4.1438,2.95023,-1.24721,-376.584,07/18/2024 11:31:05.652239380,1,-18.3621
-4.14144,2.95023,-1.24652,-377.831,07/18/2024 11:31:06.735793760,1,-18.4196
-4.13906,2.95023,-1.2458,-379.076,07/18/2024 11:31:07.819341500,1,-18.477
-4.13678,2.95023,-1.24508,-380.322,07/18/2024 11:31:08.902864560,1,-18.5344
-4.1345,2.95023,-1.2444,-381.566,07/18/2024 11:31:09.986387980,1,-18.5918
-4.13211,2.95023,-1.24376,-382.81,07/18/2024 11:31:11.069984660,1,-18.6491
-4.12989,2.95022,-1.24301,-384.053,07/18/2024 11:31:12.153504620,1,-18.7064
-4.12761,2.95023,-1.24232,-385.295,07/18/2024 11:31:13.237024100,1,-18.7637
-4.12547,2.95023,-1.24173,-386.537,07/18/2024 11:31:14.320594040,1,-18.821
-4.12343,2.95023,-1.24107,-387.778,07/18/2024 11:31:15.404123040,1,-18.8782
-4.12134,2.95022,-1.24044,-389.018,07/18/2024 11:31:16.487655700,1,-18.9354
-4.1191,2.95023,-1.23977,-390.258,07/18/2024 11:31:17.571183300,1,-18.9925
-4.11689,2.95022,-1.2391,-391.497,07/18/2024 11:31:18.654713100,1,-19.0497
-4.11466,2.95023,-1.23843,-392.736,07/18/2024 11:31:19.738243980,1,-19.1068
-4.11247,2.95022,-1.23778,-393.973,07/18/2024 11:31:20.821784700,1,-19.1638
-4.11026,2.95023,-1.23712,-395.21,07/18/2024 11:31:21.905321900,1,-19.2209
-4.10804,2.95022,-1.23642,-396.447,07/18/2024 11:31:22.988831520,1,-19.2779
-4.10574,2.95022,-1.23575,-397.683,07/18/2024 11:31:24.072368060,1,-19.3348
-4.10348,2.95022,-1.23509,-398.918,07/18/2024 11:31:25.155918560,1,-19.3918
